"Fact nr","Credit nota nr","Client-Auto-ID","Accountnaam","Factuurstraat","Factuurpostcode","Factuurplaats","Factuurland","BTW","Factuur datum","Vervaldag","Uw ref.","Offerteregelitem: totaalprijs","Verzending en afhandeling","Payment Terms","6% BTW.","21% BTW"
"172133","","1825","Bastide hq","12, Avenue de la Dame","30132","Caissargues","France","FR19305635039","2/08/2017","1/10/2017","4500777376 solde","182,70","0,00","60","0,00",""
"172134","","6093","HipSupport.nl - INGMI","Stationsplein 7","7811 GW","Emmen","Netherlands","NL102733235B04","2/08/2017","17/08/2017","ORD20160984","97,50","10,00","15","0,00",""
"172135","","3040","De Verkoopfabriek - uwRollator.nl","Veemarktkade 8","5222AE","?s-Hertogenbosch","Netherlands","NL850142283B01","2/08/2017","17/08/2017","210267-Van Aken","10,00","0,00","15","0,00",""
"172135","","3040","De Verkoopfabriek - uwRollator.nl","Veemarktkade 8","5222AE","?s-Hertogenbosch","Netherlands","NL850142283B01","2/08/2017","17/08/2017","210267-Van Aken","16,53","0,00","15","0,00",""
"172135","","3040","De Verkoopfabriek - uwRollator.nl","Veemarktkade 8","5222AE","?s-Hertogenbosch","Netherlands","NL850142283B01","2/08/2017","17/08/2017","210267-Van Aken","226,86","0,00","15","0,00",""
"172136","","3040","De Verkoopfabriek - uwRollator.nl","Veemarktkade 8","5222AE","?s-Hertogenbosch","Netherlands","NL850142283B01","2/08/2017","17/08/2017","best 28/07","266,76","0,00","15","0,00",""
"172137","","2687","Kaphingst Online GmbH","Niederwettersche Straße 1","35094","Lahntal","Germany","DE814218512","2/08/2017","17/08/2017","70044122-147964-Brinkman","89,40","3,00","15","0,00",""
"172138","","5652","Scootmobiel Actief","Ambachtsweg 4A","4128 LC","Lexmond","Netherlands","NL855281108B01","2/08/2017","17/08/2017","best 26/07","33,06","0,00","15","0,00",""
"172138","","5652","Scootmobiel Actief","Ambachtsweg 4A","4128 LC","Lexmond","Netherlands","NL855281108B01","2/08/2017","17/08/2017","best 26/07","33,06","0,00","15","0,00",""
"172138","","5652","Scootmobiel Actief","Ambachtsweg 4A","4128 LC","Lexmond","Netherlands","NL855281108B01","2/08/2017","17/08/2017","best 26/07","181,83","0,00","15","0,00",""
"172138","","5652","Scootmobiel Actief","Ambachtsweg 4A","4128 LC","Lexmond","Netherlands","NL855281108B01","2/08/2017","17/08/2017","best 26/07","16,53","0,00","15","0,00",""
"172139","","2687","Kaphingst Online GmbH","Niederwettersche Straße 1","35094","Lahntal","Germany","DE814218512","2/08/2017","17/08/2017","70044068-147726-Hut","98,28","3,00","15","0,00",""
