Actief;Id;Extern relatienummer;Naam;Voornaam;Contactpersoon;Straat en nummer;Postcode;Gemeente;Land;Klant;Boekingsrekening als klant;Leverancier;Boekingsrekening als leverancier;Venootschapsvorm;BTW-nummer;BTW plichtigheid;Bankrekeningnummer;BIC code;IBAN nummer;Munt;Vervaldagen;Vervaldatum type;Opmerkingen;Telefoon;Gsm;Fax;Email;Url;Zoekveld 1;Zoekveld 2;Taal;;;;;;;;;;
A;213;0;ADITECO NV;;;WONTERGEMSTRAAT 82;8720;Wakken;BE;JA;700000;NEE;;NV;BE0859.661.213;Belgische BTW-plichtige;;;;EUR;14;na factuur datum;;;;;;;;;0;;;;;;;;;;
A;190;0;ADOMH SANTE SARL;;;"260 VC VOIE ATLAS,13600 LA CIOTAT";;;  ;JA;700100;NEE;;NP;FR45789399979;Intracommunautaire BTW-plichtige;;;;EUR;15;na factuur datum;;;;;;;;;1;;;;;;;;;;
A;165;0;AJC Medical;;;ZI Petits Carreaux/Av. Roses 6;94380;Bonneuil sur Marne;FR;JA;700100;NEE;;NP;FR96412218406;Intracommunautaire BTW-plichtige;;;;EUR;15;na factuur datum;;;;;;;;;1;;;;;;;;;;
A;220;0;ALBATROS Wing NV;;;Gestelhof 37;2820;Bonheiden;BE;JA;700000;NEE;;NV;BE0466.912.765;Belgische BTW-plichtige;;;;EUR;15;na factuur datum;;;;;;;;;0;;;;;;;;;;
A;53;0;ALGEMEEN ZIEKENHUIS NIKOLAAS;;;MOERLANDSTRAAT 1;9100;Sint-Niklaas;BE;JA;700000;NEE;;VZW;BE0881.291.322;Belgische BTW-plichtige;;;;EUR;0;na factuur datum;;;;;;;;;0;;;;;;;;;;
A;245;0;ANKH ORTHOPÉDIE;;;RUE DES BARDANES 4;7522;Lamain;  ;JA;700000;NEE;;NP;BE0419.723.948;Belgische BTW-plichtige;;;;EUR;14;na factuur datum;;;;;;;;;0;;;;;;;;;;
A;230;0;ANP Pers Support;;;",VERRIJN STUARTLAAN 00007,2288EK RIJSWIJK ZH,";;;  ;NEE;;JA;;VOF;NL810444926B01;Intracommunautaire BTW-plichtige;;;;EUR;0;na factuur datum;;;;;;;;;0;;;;;;;;;;
A;194;0;ARTEXIS;;;MAALTEKOUTER 1;9051;Afsnee;  ;NEE;;JA;615200;NP;BE0427.328.649;Belgische BTW-plichtige;;;;EUR;0;na factuur datum;;;;;;;;;0;;;;;;;;;;
A;184;0;ASC Mobistar Center;;;;;;  ;NEE;;JA;612330;NP;BE0465.853.485;Belgische BTW-plichtige;;;;EUR;0;na factuur datum;;;;;;;;;0;;;;;;;;;;
A;155;0;AUTONOMIE DEVELOPPEMENT SERVICES;;;"44 RUE DES VIGNERONS,94300 VINCENNES";;;  ;NEE;;JA;604000;NP;FR46402765028;Intracommunautaire BTW-plichtige;;;;EUR;0;na factuur datum;;;;;;;;;0;;;;;;;;;;
A;261;0;AW Frumau;;;Pontweg 31;9160;Lokeren;BE;NEE;;JA;;NP;BE0821.105.790;Belgische BTW-plichtige;;;;EUR;0;na factuur datum;;;;;;;;;0;;;;;;;;;;
A;204;0;AZ Alma Campus Eeklo;;;;;;  ;JA;700000;NEE;;VZW;BE0463.862.908;Niet BTW-plichtige;;;;EUR;14;na factuur datum;;;;;;;;;0;;;;;;;;;;
A;216;0;AZ Medical;;;10 Boucle Du Val MArie;57100;Thionville;FR;JA;700100;NEE;;;FR16422605204;Intracommunautaire BTW-plichtige;;;;EUR;30;na factuur datum;;;;;;;;;1;;;;;;;;;;
A;193;0;AZ Paramedical;;;"A A Z PARAMEDICAL,12 RUE VERNOUX,26000 VALENCE ";;;  ;JA;700100;NEE;;NP;FR06326895430;Intracommunautaire BTW-plichtige;;;;EUR;15;na factuur datum;;;;;;;;;1;;;;;;;;;;
A;159;0;AZ SINT-LUCAS & VOLKSKLINIEK;;;GROENEBRIEL 1;9000;Gent;  ;JA;700000;NEE;;VZW;BE0459.265.997;Belgische BTW-plichtige;;;;EUR;0;na factuur datum;;;;;;;;;0;;;;;;;;;;
A;324;0;Abterna;;;;;;  ;NEE;;JA;614000;NP;;Belgische BTW-plichtige;;;;EUR;0;na factuur datum;;;;;;;;;0;;;;;;;;;;
A;238;0;Acces Santé;;;95 Rue de Sèze;69006;Lyon;FR;JA;700100;NEE;;NP;FR45431265891;Intracommunautaire BTW-plichtige;;;;EUR;14;na factuur datum;;;;;;;;;1;;;;;;;;;;
A;66;0;Action Non Food ;;;Merkplassesteenweg 106;2310;Rijkevorsel;BE;NEE;;JA;612320;BVBA;BE0873.975.443;Belgische BTW-plichtige;;;;EUR;0;na factuur datum;;;;;;;;;0;;;;;;;;;;
A;291;0;Agelyance;;;1 Rue Louis Pidoux;29200;Brest;FR;JA;;JA;700100;NP;FR04519745947;BTW-plichtige buiten EU;;;;EUR;15;na factuur datum;;;;;;;;;1;;;;;;;;;;
A;70;0;Albatros - comfortshop;;;Mechelsesteenweg 211;2820;Bonheiden;BE;JA;700000;NEE;;NP;BE0477.321.063;Belgische BTW-plichtige;;;;EUR;0;na factuur datum;;;;;;;;;0;;;;;;;;;;
A;300;0;Alphamed;;;AVENUE DES ORMEAUX 30-32;1180;Ukkel;  ;JA;700000;NEE;;NP;BE0426.402.793;Belgische BTW-plichtige;;;;EUR;15;na factuur datum;;;;;;;;;1;;;;;;;;;;
A;254;0;Anglo Belgian Corporation;;;WIEDAUWKAAI 43;9000;Gent;  ;NEE;;JA;230000;NV;BE0420.246.659;Belgische BTW-plichtige;;;;EUR;0;na factuur datum;;;;;;;;;0;;;;;;;;;;
A;317;0;Apotheek Huyghe - Hoebeke;;;H.-GEESTMOLENSTRAAT 156A;9160;Daknam;  ;NEE;;JA;604000;BVBA;BE0870.906.481;Belgische BTW-plichtige;;;;EUR;0;na factuur datum;;;;;;;;;0;;;;;;;;;;
A;76;0;Apotheek Pasmans - Mertens;;;Rerum Novarumlei 21;2930;Brasschaat;BE;JA;700000;NEE;;NP;BE0431.514.396;Belgische BTW-plichtige;;;;EUR;0;na factuur datum;;;;;;;;;0;;;;;;;;;;
A;161;0;Apple Distribution International;;;;;;  ;NEE;;JA;612320;NP;;Belgische BTW-plichtige;;;;EUR;0;na factuur datum;;;;;;;;;0;;;;;;;;;;
A;325;0;Arbrini;;;",GRASDUIN 00021,5658HL EINDHOVEN,";;;  ;NEE;;JA;;VOF;NL821887403B01;Intracommunautaire BTW-plichtige;;;;EUR;0;na factuur datum;;;;;;;;;0;;;;;;;;;;
A;296;0;Asodep;;;;;;  ;JA;700000;NEE;;NP;BE0899.844.155;Belgische BTW-plichtige;;;;EUR;15;na factuur datum;;;;;;;;;1;;;;;;;;;;
A;30;0;Association des ergotherapeutes;;;BP 14;1081;Koekelberg;BE;NEE;;JA;615200;BVBA;;Belgische BTW-plichtige;;;;EUR;0;na factuur datum;;;;;;;;;0;;;;;;;;;;
A;172;0;At-Medicals;;;Nieuwlandlaan 9;3200;Aarschot;BE;JA;700000;NEE;;NP;BE0502.815.039;Belgische BTW-plichtige;;;;EUR;15;na factuur datum;;;;;;;;;0;;;;;;;;;;
A;198;0;Autokeuring STUDIEBUREEL VOOR AUTOMOBIELTRAN;;;POORTAKKERSTRAAT 129;9051;Afsnee;  ;NEE;;JA;611221;NP;BE0428.927.169;Belgische BTW-plichtige;;;;EUR;0;na factuur datum;;;;;;;;;0;;;;;;;;;;
A;168;0;Autonomie;;;ZA Rue Lavoisier BP 20065;59112;Annoeullin;FR;JA;700100;NEE;;NP;FR26433955630;Intracommunautaire BTW-plichtige;;;;EUR;0;na factuur datum;;;;;;;;;0;;;;;;;;;;
A;25;0;Ava;;;Kapekanielaan 6;9140;Temse;BE;NEE;;JA;612320;NV;BE0404.754.274;Belgische BTW-plichtige;;;;EUR;0;na factuur datum;;;;;;;;;0;;;;;;;;;;
A;16;0;Avia Belgomine ;;;Wilfordkaai 43;9140;Temse;BE;NEE;;JA;612240;NV;;Belgische BTW-plichtige;;;;EUR;0;na factuur datum;;;;;;;;;0;;;;;;;;;;
A;246;0;BABY'S CORNER;;;STEENWEG DEINZE 33;9810;Eke;  ;JA;700000;NEE;;NP;BE0880.289.351;Belgische BTW-plichtige;;;;EUR;14;na factuur datum;;;;;;;;;0;;;;;;;;;;
A;217;0;BASTIDE LE CONFORT MEDICAL SA;;;"12 AV DE LA DAME,30132 CAISSARGUES ";;;  ;JA;700100;NEE;;NP;FR19305635039;Intracommunautaire BTW-plichtige;;;;EUR;15;na factuur datum;;;;;;;;;1;;;;;;;;;;
A;247;0;BELMEDIS;;;CONGRESSTRAAT 35;1000;Brussel;  ;JA;700000;NEE;;NP;BE0404.182.964;Belgische BTW-plichtige;;;;EUR;14;na factuur datum;;;;;;;;;0;;;;;;;;;;
A;215;0;BOP MON ARTISAN SPRL;;;RUE DES SCABIEUSES 6 B;5100;Naninne;BE;JA;700000;NEE;;BVBA;BE0840.273.485;Belgische BTW-plichtige;;;;EUR;0;na factuur datum;;;;;;;;;0;;;;;;;;;;
A;179;0;BPOST;;;MUNTCENTRUM;1000;Brussel;  ;NEE;;JA;612310;NP;BE0214.596.464;Belgische BTW-plichtige;;;;EUR;0;na factuur datum;;;;;;;;;0;;;;;;;;;;
A;106;0;Backstage Communication;;;;;;  ;NEE;;JA;612320;NP;BE0893.887.563;Belgische BTW-plichtige;;;;EUR;0;na factuur datum;;;;;;;;;0;;;;;;;;;;
A;118;0;Bandagisterie Brasseur;;;Rue du Midi 76/82;1000;Brussel;BE;JA;700000;NEE;;NP;BE0877.884.444;Belgische BTW-plichtige;;;;EUR;0;na factuur datum;;;;;;;;;0;;;;;;;;;;
A;95;0;Bandamed;;;Bizeweg 4c;9230;Wetteren;BE;JA;700000;NEE;;NV;BE0444.817.749;Belgische BTW-plichtige;;;;EUR;15;na factuur datum;;;;;;;;;0;;;;;;;;;;
A;104;0;Basecamp Communications ;;;Bautersemstraat 41;2800;Mechelen;BE;NEE;;JA;614000;BVBA;BE0845.025.101;Belgische BTW-plichtige;;;;EUR;0;na factuur datum;;;;;;;;;0;;;;;;;;;;
A;78;0;Basilic Ortho Pedia ;;;Avenue Marie d'hongrie 80a;1082;Sint-Agatha-Berchem;BE;JA;700000;NEE;;BVBA;BE0422.269.803;Belgische BTW-plichtige;;;;EUR;0;na factuur datum;;;;;;;;;0;;;;;;;;;;
A;315;0;Ben Hoppenbrouwers Keukens;;;",WILDERTSEDIJK 00001 7,4881ET ZUNDERT,";;;  ;JA;;JA;700400;NP;NL099855847B01;BTW-plichtige buiten EU;;;;EUR;15;na factuur datum;;;;;;;;;0;;;;;;;;;;
A;54;0;Beter Thuis - Delporte;;;Rechtstraat 18a;9080;Lochristi;BE;JA;700000;NEE;;NP;BE0643.347.154;Belgische BTW-plichtige;;;;EUR;0;na factuur datum;;;;;;;;;0;;;;;;;;;;
A;153;0;Blijf Actief;;;Abdis Erkastraat 17;8510;Marke;BE;JA;700000;NEE;;NP;;Niet BTW-plichtige;;;;EUR;0;na factuur datum;;;;;;;;;0;;;;;;;;;;
A;259;0;Buisgro;;;KRIKTESTRAAT 9;9160;Daknam;  ;NEE;;JA;611111;BVBA;BE0416.103.472;Belgische BTW-plichtige;;;;EUR;0;na factuur datum;;;;;;;;;0;;;;;;;;;;
A;248;0;CEDEK MEDICAL;;;RUE CHARLES-MAGNETTE 6;4000;Glain;  ;JA;;NEE;;NP;BE0443.485.087;Belgische BTW-plichtige;;;;EUR;14;na factuur datum;;;;;;;;;0;;;;;;;;;;
A;157;0;CEMEX B.V.;;;",BETUWEHAVEN 00016,3433PV NIEUWEGEIN,";;;  ;JA;700000;NEE;;NP;NL008306448B01;Intracommunautaire BTW-plichtige;;;;EUR;0;na factuur datum;;;;;;;;;0;;;;;;;;;;
A;46;0;CLINIQUE SAINT JEAN;;;BD DU JARDIN BOTANIQUE32;1000;Brussel;BE;JA;;NEE;;VZW;BE0409.890.128;Belgische BTW-plichtige;;;;EUR;0;na factuur datum;;;;;;;;;0;;;;;;;;;;
A;290;0;Cap Autonomie;;;43 Le Jeune Bois;59157;Beauvois-en-Cambrésis;FR;JA;700100;NEE;;NP;FR76445035504;BTW-plichtige buiten EU;;;;EUR;15;na factuur datum;;;;;;;;;0;;;;;;;;;;
A;226;0;Cap Vital Sante Bourgoin;;;10 B RTE DE GRENOBLE;38300;Bourgoin;FR;JA;700100;NEE;;;FR67423895127;Intracommunautaire BTW-plichtige;;;;EUR;30;na factuur datum;;;;;;;;;1;;;;;;;;;;
A;227;0;Cap Vital Sante Lyon;;;110 AV PAUL SANTY ;69008;LYON;FR;JA;700100;NEE;;;FR08790484653;Intracommunautaire BTW-plichtige;;;;EUR;30;na factuur datum;;;;;;;;;1;;;;;;;;;;
A;225;0;Cap Vital Sante Saint Camond;;;RICHAGNEUX;42400 ;;FR;JA;700100;NEE;;;FR58385096094;Intracommunautaire BTW-plichtige;;;;EUR;30;na factuur datum;;;;;;;;;1;;;;;;;;;;
A;88;0;Carglass;;;Trichterheideweg 11;3500;Hasselt;BE;NEE;;JA;611221;NV;BE0432.023.845;Belgische BTW-plichtige;;;;EUR;0;na factuur datum;;;;;;;;;0;;;;;;;;;;
A;122;0;Cavellor;;;Rue Edith Cavell 143a;1180;Ukkel;BE;JA;700000;NEE;;NP;BE0472.911.820;Belgische BTW-plichtige;;;;EUR;0;na factuur datum;;;;;;;;;0;;;;;;;;;;
A;170;0;Cellier;;;;;;  ;JA;700100;NEE;;NP;FR39317929537;Intracommunautaire BTW-plichtige;;;;EUR;15;na factuur datum;;;;;;;;;1;;;;;;;;;;
A;86;0;Cemex;;;Betuwehaven 16;3433;PV Nieuwegein;BE;NEE;;JA;604000;NP;NL008306448B01;Intracommunautaire BTW-plichtige;;;;EUR;0;na factuur datum;;;;;;;;;0;;;;;;;;;;
A;35;0;Centea;;;;;;  ;NEE;;JA;650200;NV;;Belgische BTW-plichtige;;;;EUR;0;na factuur datum;;;;;;;;;0;;;;;;;;;;
A;192;0;Centre Neurologique William Lennox;;;Allé de Clerlande 6;1340;Ottignies;BE;JA;700000;NEE;;NP;BE0408.374.948;Belgische BTW-plichtige;;;;EUR;15;na factuur datum;;;;;;;;;1;;;;;;;;;;
A;166;0;Centre Orthopedique;;;41 Rue des Rotisseurs;59400;Cambrai;FR;JA;700100;NEE;;NP;FR41389530023;Intracommunautaire BTW-plichtige;;;;EUR;15;na factuur datum;;;;;;;;;1;;;;;;;;;;
A;163;0;Centre d'encaissement des amendes;;;;;;  ;NEE;;JA;643100;NP;;Belgische BTW-plichtige;;;;EUR;0;na factuur datum;;;;;;;;;0;;;;;;;;;;
A;272;0;Cerp Wallonie;;;BD DE L'HUMANITE 55;1070;Anderlecht;  ;JA;700000;NEE;;NP;BE0403.057.962;Belgische BTW-plichtige;;;;EUR;15;na factuur datum;;;;;;;;;1;;;;;;;;;;
A;26;0;CheapTickets.be;;;;;;  ;NEE;;JA;613310;NP;;Belgische BTW-plichtige;;;;EUR;0;na factuur datum;;;;;;;;;0;;;;;;;;;;
A;297;0;Clavel Medical;;;"LA SAQUE,30800 ST GILLES ";;;  ;JA;700100;NEE;;NP;FR23494053531;BTW-plichtige buiten EU;;;;EUR;15;na factuur datum;;;;;;;;;1;;;;;;;;;;
A;114;0;Colruyt ETN ;;;Edingensesteenweg 196;1500;Halle;BE;NEE;;JA;614310;NV;BE0400.378.485;Belgische BTW-plichtige;;;;EUR;0;na factuur datum;;;;;;;;;0;;;;;;;;;;
A;47;0;Commission Europeenne;;;Service Facturation OIB OS 2;1049;E.U.-Commissie;BE;JA;;NEE;;NP;;Niet BTW-plichtige;;;;EUR;0;na factuur datum;;;;;;;;;0;;;;;;;;;;
A;301;0;Confort Medical France;;;"8 AV DE LA MALADRERIE,78300 POISSY ";;;  ;JA;700100;NEE;;NP;FR12488169863;BTW-plichtige buiten EU;;;;EUR;15;na factuur datum;;;;;;;;;1;;;;;;;;;;
A;316;0;Coppes Hoorzorg;;;",BROEKSTRAAT 00145,6546AB NIJMEGEN,";;;  ;JA;700400;NEE;;NP;NL168463672B02;BTW-plichtige buiten EU;;;;EUR;15;na factuur datum;;;;;;;;;0;;;;;;;;;;
A;119;0;Creteur orthopedie;;;Rue d'Havré 136;7000;Mons;BE;JA;700000;NEE;;NP;BE0843.330.866;Belgische BTW-plichtige;;;;EUR;0;na factuur datum;;;;;;;;;0;;;;;;;;;;
A;140;0;Cuyt Orthopedie;;;Antwerpsesteenweg 259/b;2800;Mechelen;BE;JA;700000;NEE;;NP;;Niet BTW-plichtige;;;;EUR;0;na factuur datum;;;;;;;;;0;;;;;;;;;;
A;243;0;DE VOORZORG Mechelen;;;SCHIJFSTRAAT 51;2800;Walem;  ;JA;700000;NEE;;NP;BE0403.635.212;Belgische BTW-plichtige;;;;EUR;14;na factuur datum;;;;;;;;;0;;;;;;;;;;
A;199;0;DHONDT CHRISTOPHE;;;OPPERSTRAAT 61;9180;Moerbeke-Waas;  ;NEE;;JA;615000;NP;BE0892.673.578;Belgische BTW-plichtige;;;;EUR;0;na factuur datum;;;;;;;;;0;;;;;;;;;;
A;252;0;DLN Mobiliteit;;;KERKHOFWEG 36;2430;Laakdal;  ;JA;700000;NEE;;NP;BE0841.224.679;Belgische BTW-plichtige;;;;EUR;14;na factuur datum;;;;;;;;;0;;;;;;;;;;
